TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
1801,2028,2305,108,-124
1802,2028,2305,108,-124
1803,2028,2305,108,-124
1804,2028,2305,108,-124
1805,2028,2305,108,-124
1806,2028,2305,108,-124
1807,2028,2305,108,-124
1808,2028,2305,108,-124
1809,2028,2305,108,-124
1811,2028,2845,0,-272
1812,2028,2845,0,-272
1813,2028,2845,0,-272
1814,2028,2845,0,-272
1815,2028,2845,0,-272
1816,2028,2845,0,-272
1817,2028,2845,0,-272
1818,2028,2845,0,-272
1819,2028,2845,0,-272
1820,2028,2845,0,-272
1822,2028,2845,0,-28
1823,2028,2845,0,-28
1825,2028,2845,0,-28
1826,2028,2845,0,-28
1828,2028,2845,0,-28
1829,2028,2845,0,-28
1831,2765,2845,0,0
1832,2765,2845,0,0
1833,2765,2845,0,0
1834,2765,2845,0,0
1835,2765,2845,0,0
1836,2765,2845,0,0
1837,2765,2845,0,0
1838,2765,2845,0,0
1839,2765,2845,0,0
1840,2765,2845,0,0
1841,2028,2845,0,-64
1843,2028,2845,0,-64
1844,2028,2845,0,-64
1845,2028,2845,0,-64
1846,2028,2845,0,-64
1847,2028,2845,0,-64
1848,2028,2845,0,-64
1849,2028,2845,0,-64
1850,2028,2845,0,-64
1851,2765,2845,0,0
1852,2765,2845,0,0
1853,2765,2845,0,0
1854,2765,2845,0,0
1855,2765,2845,0,0
1856,2765,2845,0,0
1857,2765,2845,0,0
1858,2765,2845,0,0
1859,2765,2845,0,0
1860,2765,2845,0,0
1862,2028,2845,0,-68
1863,2028,2845,0,-68
1864,2028,2845,0,-68
1865,2028,2845,0,-68
1866,2028,2845,0,-68
1867,2028,2845,0,-68
1868,2028,2845,0,-68
1869,2028,2845,0,-68
1870,2028,2845,0,-68
1871,2028,2845,0,-40
1872,2028,2845,0,-40
1873,2028,2845,0,-40
1874,2028,2845,0,-40
1875,2028,2845,0,-40
1876,2028,2845,0,-40
1877,2028,2845,0,-40
1878,2028,2845,0,-40
1879,2028,2845,0,-40
1880,2028,2845,0,-40
1881,2028,2845,0,-48
1882,2028,2845,0,-48
1883,2028,2845,0,-48
1884,2028,2845,0,-48
1886,2028,2845,0,-48
1887,2028,2845,0,-48
1889,2028,2845,0,-48
1890,2028,2845,0,-48
